reviews_287454_0003_0 The fries are of good quality , the staff is friendly . ||| p.Characteristic p.Identity B-GOV I-GOV O B-PREP B-OBJ I-OBJ O O O O O O 
reviews_308297_0003_0 They offer a good portions at a great price , it 's enough food to fill you up , but you do n't ever feel like you ate too much . ||| p.Cost p.Locus O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O O O O O O O O O O O O O O O O O O O 
reviews_163703_0001_0 Cheap Hotel Rome - Thanks for all your help ! ||| p.Explanation p.Explanation O O O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_351840_0001_0 Caldwell insurance has been doing our insurance for a couple years now and they have been extremely thorough . ||| p.Duration p.Duration O O B-GOV I-GOV I-GOV O O B-PREP B-OBJ I-OBJ I-OBJ O O O O O O O O 
reviews_332785_0004_1 I was ready to buy a new jacket , a new sweater and a couple of your overpriced belts and I walked out because of your obvious lurking ||| p.Explanation p.Explanation O O O O O O O O O O O O O O O O O O O O O B-GOV I-GOV B-PREP I-PREP B-OBJ I-OBJ I-OBJ 
reviews_385436_0001_0 This is the best Mediterranean Restaurant in the West Valley , I have friend who drive from central Phx to come here . ||| p.Locus p.Locus O O B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O O O O O O O O O O 
reviews_306740_0003_1 A wonderful tutoring service for students needing help with elementary - middle school work . ||| p.Theme p.Theme O O O O O O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ I-OBJ O 
reviews_323248_0003_0 Like all oil place changes , ask / recommend the 100 other services they have . ||| p.ComparisonRef p.ComparisonRef B-PREP B-OBJ I-OBJ I-OBJ I-OBJ O B-GOV I-GOV I-GOV O O O O O O O 
reviews_022900_0001_0 Very hard work from the boys in blue there ! ||| p.Agent p.Source B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O 
reviews_280170_0005_0 The lowest bed here is better than my last salon s highest level . ||| p.ComparisonRef p.ComparisonRef O O O O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ I-OBJ I-OBJ O 
reviews_367586_0001_0 Well kept facility with friendly staff . ||| p.OrgMember p.PartPortion B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_356361_0003_0 A well communicated and will be hireing again for another projects ...... ||| p.Theme p.Purpose O O O O B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_021370_0002_0 It 's fine for mass - market chocolate , but with companies like Scharffen Berger , TCHO , and smaller artisan chocolate makers in the area , why ? ||| p.ComparisonRef p.ComparisonRef O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ O O O O O O O O O O O O O O O O O O O O O 
reviews_372665_0004_0 Thought adding a comment would save someone the hassle with a useless trip there . ||| ?? null O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O O 
reviews_395149_0002_0 I have used them once and will use them in the future . ||| p.Time p.Time O O O O O O B-GOV I-GOV O B-PREP B-OBJ I-OBJ O 
reviews_147825_0005_0 Oh , and salad cream , not mayonnaise , on the coleslaw . ||| p.Locus p.Locus O O O B-GOV I-GOV O O O O B-PREP B-OBJ I-OBJ O 
reviews_288930_0003_0 Try the 360 restraunt u spin in the cn tower with a beautiful view the sky pod elevator is about an hour line up in the summer ||| p.Locus p.Locus O O O O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O O O O O O O O O O O O O O 
reviews_365688_0001_0 No meat on Burger and too much pepper . ||| p.Locus p.Locus B-GOV I-GOV B-PREP B-OBJ O O O O O 
reviews_149922_0001_0 Clean rooms , great for the price and cheapest on the exit . ||| p.ComparisonRef p.ComparisonRef O O O B-GOV B-PREP B-OBJ I-OBJ O O O O O O 
reviews_083849_0001_0 Surprisingly , this little strip mall restaurant has the best sushi I 've found in the Tampa area . ||| p.Locus p.Locus O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_061768_0002_0 I came in to get a nice gift for my wife . ||| p.Recipient p.Direction O O O O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_306740_0003_0 A wonderful tutoring service for students needing help with elementary - middle school work . ||| p.Beneficiary p.Beneficiary B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ O O O O O O O O O 
reviews_385436_0001_1 This is the best Mediterranean Restaurant in the West Valley , I have friend who drive from central Phx to come here . ||| p.Source p.Source O O O O O O O O O O O O O O O B-GOV B-PREP B-OBJ I-OBJ O O O O 
reviews_332785_0004_0 I was ready to buy a new jacket , a new sweater and a couple of your overpriced belts and I walked out because of your obvious lurking ||| p.QuantityItem p.Whole O O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O O O O O O 
reviews_120992_0001_0 Holly - the owner , knows exactly how to make you feel beautiful in clothes . ||| p.Possession p.Locus O O O O O O O O O O O O B-GOV B-PREP B-OBJ O 
reviews_255736_0001_0 Remember seeing " Stop Making Sense " at Cinema 21 multiple times ! ||| p.Locus p.Locus O B-GOV O O O O O B-PREP B-OBJ I-OBJ O O O 
reviews_288930_0003_1 Try the 360 restraunt u spin in the cn tower with a beautiful view the sky pod elevator is about an hour line up in the summer ||| p.Characteristic p.Characteristic O O O O O B-GOV O O O O B-PREP B-OBJ I-OBJ I-OBJ O O O O O O O O O O O O O 
reviews_064100_0001_0 Great spot to kick back for a cup of joe and a snack . ||| p.Circumstance p.Circumstance B-GOV I-GOV O O O B-PREP B-OBJ I-OBJ O O O O O O 
reviews_149922_0001_1 Clean rooms , great for the price and cheapest on the exit . ||| p.Locus p.Locus O O O O O O O O B-GOV B-PREP B-OBJ I-OBJ O 
reviews_228944_0001_0 Best in Memphis ||| p.Locus p.Locus B-GOV B-PREP B-OBJ 
reviews_374000_0004_0 I was there when they did a free raffle in August and I won a hard drive ! ||| p.Time p.Time O O O O O B-GOV O O O B-PREP B-OBJ O O O O O O O 
reviews_021370_0002_1 It 's fine for mass - market chocolate , but with companies like Scharffen Berger , TCHO , and smaller artisan chocolate makers in the area , why ? ||| p.Circumstance p.Circumstance O O O O O O O O O O B-PREP B-OBJ O O O O O O O O O O O O O O O B-GOV O 
reviews_359014_0004_0 The work on my car was done quickly and I felt I could trust his work . ||| p.Theme p.Theme B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O O O O 
reviews_125629_0001_2 Anyone else find it a little suspicious that there are not only 20 reviews for this dentist ( a HUGE number compared to the others in the area ) , but that they all have the same unique grammar structure ? ||| p.Locus p.Locus O O O O O O O O O O O O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O O O O O 
reviews_008635_0002_0 Very good with my 5 year old daughter . ||| ?? null B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ I-OBJ O 
reviews_059386_0002_0 We go to Japaneiro 's all the time and we have NEVER been disappointed ! ||| p.Goal p.Goal O B-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O O 
reviews_332972_0001_1 The best pizza ever i m fat so i ve had a ton of pizza other than pizza from chicago it s the best ||| p.Source p.Source O O O O O O O O O O O O O O O O O B-GOV B-PREP B-OBJ O O O O 
reviews_287454_0004_1 The atmosphere is your typical indie outfit with old movie posters and memorabilia from the 70's and 80's . ||| p.StartTime p.StartTime O O O O O O O O B-GOV I-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ O 
reviews_236648_0002_3 Walked in and was out ta there in 10 mins with a really good deal i thought i was going to be paying a lot because i had a DUI but with my DUI and Sr - 22 they were able to get me the best deal out there . ||| p.Circumstance p.Circumstance O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-PREP B-OBJ I-OBJ I-OBJ I-OBJ I-OBJ I-OBJ O B-GOV I-GOV O O O O O O O O O 
reviews_071017_0004_1 Hard to get into though because of road construction . ||| p.Explanation p.Explanation B-GOV O O O O B-PREP I-PREP B-OBJ I-OBJ O 
reviews_124552_0002_0 My favorite so far in Bellevue . ||| p.Locus p.Locus B-GOV I-GOV O O B-PREP B-OBJ O 
reviews_072271_0002_0 What a joy to stroll off historic Canyon Road in Santa Fe into a gallery with a gorgeous diversity of art . ||| p.Source p.Source O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O O O O O O O O O O 
reviews_016861_0001_1 Stayed in the Seaview room here in December 2009 ! ||| p.Time p.Time B-GOV O O O O O B-PREP B-OBJ I-OBJ O 
reviews_294812_0002_0 Food is just okay .. wo n't crave it , but would n't mind coming back for a quick meal . ||| p.Purpose p.Purpose O O O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_359433_0004_0 Thanks From Bill ||| p.Originator p.Source B-GOV B-PREP B-OBJ 
reviews_310018_0003_0 You will not be disappointed with her work !! ||| p.Stimulus p.Topic O B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_217485_0001_0 I 'll admit I was n't expecting much from this place , but they really did do a good job . ||| p.Source p.Source O O O O B-GOV I-GOV I-GOV O B-PREP B-OBJ I-OBJ O O O O O O O O O O 
reviews_107292_0002_0 long lines on the weekends but worth it ||| p.Time p.Time B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O 
reviews_125522_0003_1 Calls are now forwarded to Malcolm Smith Motorsports down the road . ||| p.Locus p.Path O O O O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_057644_0007_0 Removing 90 % of ' sit - abouts ' in main room would look cleaner . ||| p.QuantityItem p.Whole O B-GOV I-GOV B-PREP O B-OBJ I-OBJ I-OBJ O O O O O O O O 
reviews_058274_0003_0 Atmosphere is always fun , the assortment of customers adds entertainment to the meal ||| p.Species p.Species O O O O O B-GOV I-GOV B-PREP B-OBJ O O O O O 
reviews_096340_0004_0 They do have a good selection of fabric and notions . ||| p.Species p.Species O O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_203196_0002_0 VISAKHA INDUSTRIAL GASES PVT. LTD. , location at google maps . ||| p.Locus p.Locus O O O O O O B-GOV B-PREP B-OBJ I-OBJ O 
reviews_162662_0001_0 Great place for embroidery . ||| p.Purpose p.Purpose B-GOV I-GOV B-PREP B-OBJ O 
reviews_071017_0004_0 Hard to get into though because of road construction . ||| p.Goal p.Goal O B-GOV I-GOV B-PREP O O O O O O 
reviews_208180_0001_0 Good quality Indian food in a pleasant environment ||| p.Locus p.Locus B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ 
reviews_287454_0004_0 The atmosphere is your typical indie outfit with old movie posters and memorabilia from the 70's and 80's . ||| p.Characteristic p.Characteristic O O O B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ I-OBJ O O O O O O 
reviews_327766_0004_0 I loved my stay here and if ever back in the area , I will be staying here again . ||| p.Locus p.Locus O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O O O 
reviews_236648_0002_2 Walked in and was out ta there in 10 mins with a really good deal i thought i was going to be paying a lot because i had a DUI but with my DUI and Sr - 22 they were able to get me the best deal out there . ||| p.Possession p.Ancillary O O O B-GOV O O O O O O B-PREP B-OBJ I-OBJ I-OBJ I-OBJ O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O 
reviews_118770_0001_0 This place is clean and well run with great people . ||| p.OrgMember p.PartPortion O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_332972_0001_0 The best pizza ever i m fat so i ve had a ton of pizza other than pizza from chicago it s the best ||| p.QuantityItem p.QuantityItem O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ O O O O O O O O O 
reviews_057644_0007_1 Removing 90 % of ' sit - abouts ' in main room would look cleaner . ||| p.Locus p.Locus O O O O O B-GOV I-GOV I-GOV O B-PREP B-OBJ I-OBJ O O O O 
reviews_125522_0003_0 Calls are now forwarded to Malcolm Smith Motorsports down the road . ||| p.Recipient p.Goal O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O 
reviews_307209_0002_0 HAS MOVED TO 4783 Bay Rd Saginaw , Michigan 48604 ( 989 ) 755-1109 ||| p.Goal p.Goal B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ I-OBJ I-OBJ I-OBJ O O O O 
reviews_058274_0003_1 Atmosphere is always fun , the assortment of customers adds entertainment to the meal ||| p.Goal p.Goal O O O O O O O O O B-GOV O B-PREP B-OBJ I-OBJ 
reviews_313558_0002_0 If possible I try the services on myself before I bring in my son . ||| p.Theme p.Theme O O O B-GOV O O B-PREP B-OBJ O O O O O O O 
reviews_251475_0003_2 In a few words ... I 'm pleasantly surprised that you can still find " old school " service out there where company care more about good name and customers than their pockets ... ||| p.ComparisonRef p.ComparisonRef O O O O O O O O O O O O O O O O O O O O O O O O O O B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_072271_0002_1 What a joy to stroll off historic Canyon Road in Santa Fe into a gallery with a gorgeous diversity of art . ||| p.Locus p.Locus O O O O O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O O 
reviews_016861_0001_0 Stayed in the Seaview room here in December 2009 ! ||| p.Locus p.Locus B-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O O 
reviews_067423_0003_0 I would n't go to anyone else . ||| p.Goal p.Goal O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_009775_0003_1 Salad bar is hit and miss for freshness - sometimes the broccoli looks browned around the edges . ||| p.Locus p.Locus O O O O O O O O O O O O O B-GOV B-PREP B-OBJ I-OBJ O 
reviews_140302_0003_0 The paint and wheels looked like glass and the interior looked new ! ||| p.Manner p.ComparisonRef O O O O B-GOV B-PREP B-OBJ O O O O O O 
reviews_354860_0002_3 From first meeting with them to launch of my website , everything went smooth and on schedule . ||| p.Theme p.Theme O O O O O O B-GOV B-PREP B-OBJ I-OBJ O O O O O O O O 
reviews_077213_0005_0 if you want good pizza , go to famoso . ||| p.Goal p.Goal O O O O O O B-GOV B-PREP B-OBJ O 
reviews_030875_0001_0 Slice Pizza at former Britt 's Location ||| p.Locus p.Locus B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ 
reviews_186275_0002_0 I will gladly recommend you to anyone in need of or looking for a good florist . ||| p.Recipient p.Goal O B-GOV I-GOV I-GOV O B-PREP B-OBJ O O O O O O O O O O 
reviews_211844_0001_0 Favorite DD spot in the area ! ||| p.Locus p.Locus B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_280170_0002_1 I used to tan down the street before I was referred to this place by one of my friends . ||| p.Recipient p.Goal O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O 
reviews_162992_0002_0 I am pleased with the service that i get at Luxe . ||| p.Stimulus p.Topic O B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O 
reviews_194830_0002_0 The First time I walked in there with my teacup chihuahua puppy I knew I 'd be here a lot . ||| p.Goal p.Locus O O O O B-GOV B-PREP B-OBJ O O O O O O O O O O O O O O 
reviews_115029_0002_0 Definitely not going to purchase a car from here . ||| p.Originator p.Source O O O O O B-GOV I-GOV B-PREP B-OBJ O 
reviews_140164_0004_1 Go to the Looking Glass for all your smoking needs !!!!!!!!!! ||| p.Purpose p.Purpose B-GOV O O O O B-PREP B-OBJ I-OBJ I-OBJ I-OBJ O 
reviews_359014_0003_0 He is very knowledgeable and took the time to explain the repairs to me . ||| p.Recipient p.Goal O O O O O O O O B-GOV I-GOV O O B-PREP B-OBJ O 
reviews_351840_0002_0 We 've only had one urgent issue to deal with and they were very prompt in their response . ||| p.Circumstance p.Circumstance O O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_163703_0002_0 Cheap Hotel Rome - thanks for finding us a hotel at the last minute . ||| p.Time p.Time O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_047007_0001_1 Called to check if they had a product I 've been using on my dog for years ... the boy who answered the phone could n't possibly have been ruder to me . ||| p.Duration p.Duration O O O O O O O O O B-GOV I-GOV I-GOV O O O B-PREP B-OBJ O O O O O O O O O O O O O O O O 
reviews_210019_0003_0 We have never had a problem with the cabins . ||| p.Topic p.Topic O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_067826_0001_0 If you 're looking for homestyle Japanese food , you ca n't beat this ||| p.Theme p.Theme O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O O O 
reviews_088914_0001_0 They did a vehicle wrap for my Toyota Venza that looks amazing . ||| p.Theme p.Theme O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O 
reviews_134617_0002_0 Great place to catch a band or catch up with friends . ||| p.Agent p.Ancillary O O O O O O O B-GOV I-GOV B-PREP B-OBJ O 
reviews_371492_0003_1 No more having to drive to San Francisco for a great mani pedi . ||| p.Purpose p.Purpose O O O B-GOV I-GOV O O O B-PREP B-OBJ I-OBJ I-OBJ I-OBJ O 
reviews_073356_0003_0 Shuttle available to a private beach area with food / drinks / towels . ||| p.Goal p.Goal B-GOV O B-PREP B-OBJ I-OBJ I-OBJ I-OBJ O O O O O O O 
reviews_140164_0004_0 Go to the Looking Glass for all your smoking needs !!!!!!!!!! ||| p.Goal p.Goal B-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O O O 
reviews_358063_0003_0 Staff is very friendly they treat you like a human being and not just another patient . ||| p.Manner p.ComparisonRef O O O O O B-GOV O B-PREP B-OBJ I-OBJ I-OBJ O O O O O O 
reviews_323248_0004_0 Will be a repeat customer with discount coupons . ||| p.Possession p.Ancillary O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_162992_0002_1 I am pleased with the service that i get at Luxe . ||| p.Locus p.Locus O O O O O O O O B-GOV B-PREP B-OBJ O 
reviews_280170_0002_0 I used to tan down the street before I was referred to this place by one of my friends . ||| p.Locus p.Direction O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O O O O O 
reviews_090390_0003_2 It is , surprisingly , near the Blue Water Bridges , some miles to the west of this location . ||| p.Locus p.Source O O O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_194830_0002_1 The First time I walked in there with my teacup chihuahua puppy I knew I 'd be here a lot . ||| p.Possession p.Ancillary O O O O B-GOV O O B-PREP B-OBJ I-OBJ I-OBJ I-OBJ O O O O O O O O O 
reviews_354860_0002_2 From first meeting with them to launch of my website , everything went smooth and on schedule . ||| p.EndTime p.EndTime O O O O O B-PREP B-OBJ O O O O O B-GOV O O O O O 
reviews_063754_0002_2 He worked on it right on the back of my car . ||| p.Whole p.Whole O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_009775_0003_0 Salad bar is hit and miss for freshness - sometimes the broccoli looks browned around the edges . ||| p.Characteristic p.Characteristic O O O B-GOV I-GOV I-GOV B-PREP B-OBJ O O O O O O O O O O 
reviews_073356_0003_1 Shuttle available to a private beach area with food / drinks / towels . ||| p.Characteristic p.Characteristic O O O B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ I-OBJ O 
reviews_371492_0003_0 No more having to drive to San Francisco for a great mani pedi . ||| p.Goal p.Goal O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O 
reviews_031674_0001_0 Responsive , kept me apprised of status . ||| p.Topic p.Topic O O O O B-GOV B-PREP B-OBJ O 
reviews_009943_0002_0 moving with a pod was the best moving experience i have had . ||| p.Instrument p.Instrument B-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O 
reviews_147825_0002_0 45 p for tap water ! ||| p.Theme p.Theme B-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_354860_0004_0 Great with SEO as well . ||| p.Topic p.Topic B-GOV B-PREP B-OBJ O O O 
reviews_047007_0001_0 Called to check if they had a product I 've been using on my dog for years ... the boy who answered the phone could n't possibly have been ruder to me . ||| p.Goal p.Locus O O O O O O O O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O O O O O O O O O O 
reviews_243369_0002_0 Just received from your flower store . ||| p.Originator p.Source B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
